facebook_page_name,facebook_page_id,instagram_name,instagram_id,current_client_name,current_client_id,suggested_client_name,suggested_client_id,confidence,reason,facebook_account_row_id,instagram_account_row_id
Brighton Auto Group,624704787391725,brightonautogroup,17841473893247965,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Brighton Auto Group,6e072410-8893-4ef8-a38c-3bb655e0eaa0,high,Exact publishing page to client name match.,361f21fe-dcca-43c0-86eb-b293cde4a583,467c58ea-b367-41d0-b4e0-6bd62068b913
Courtney & Patterson Ford,181434991882561,courtneypattersonford,17841403923213467,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Courtney & Patterson Ford,ddd19405-5cbd-4e2f-8d9c-4f820ed75b32,high,Exact publishing page to client name match.,7ad92144-6bc7-45dc-826a-5b81f396d2ad,bf2c85ca-79c6-428c-bab3-9538c1c7f374
Ferntree Gully Automotive,779036605288842,ftgauto,17841403278746765,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Ferntree Gully Automotive,09164a83-ac69-43a7-9763-27474019f15b,high,Exact publishing page to client name match.,67324cf0-3d9a-4437-8e2c-08fc1e6c762f,a2062320-01c8-41bb-8b1e-b1676e848329
Garry and Warren Smith Honda,143839032364543,gwshonda,17841401351975914,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Garry and Warren Smith,70f5b134-8fa7-4eb1-b124-1e621a68e0ec,high,Publishing page name begins with existing client/group name.,014965aa-4309-4a68-ad2e-17af132fa66f,de598877-4ef3-4c47-90d6-ac53fa5ba20a
Gendore Tractors and Machinery Pty Ltd,557659540933042,gendore_tractors,17841467314810984,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Gendore Tractors And Machinery,1aa13b96-c9e2-40d0-ace0-c673a57305fc,high,Mapped by known dealership/group naming rule; review before applying.,0c7c56af-330c-4906-bc00-850d198077d3,31810e7c-e928-4649-96ad-bd735c3e6b50
Northern Motor Group,377100258985904,northernmotorgroup,17841403428755792,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Northern Motor Group,efd1e1c6-f227-4b2f-b36d-19880bdba0e0,high,Exact publishing page to client name match.,49a4cd66-2917-4475-97bd-9900761ee093,c2c774d4-d128-4e83-b086-87d41efd610b
The Big Garage LDV,183768578148156,,,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,The Big Garage,436e159b-d053-4de2-ad0e-e589b938ced7,high,Publishing page name begins with existing client/group name.,7a54c2e5-dac1-483c-82bb-7858a57f23d3,
Brighton GWM,916098761594157,brightongwm,17841480502573308,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Brighton Auto Group,6e072410-8893-4ef8-a38c-3bb655e0eaa0,medium,Mapped by known dealership/group naming rule; review before applying.,15814f26-cd9b-4346-92bc-ebc8f034c471,eb29cbc4-b8a0-467f-9281-62c176c6e7d5
Brighton LDV,2822289847792973,,,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Brighton Auto Group,6e072410-8893-4ef8-a38c-3bb655e0eaa0,medium,Mapped by known dealership/group naming rule; review before applying.,7545bdc0-6839-4b73-bbe9-9c1d70b054d7,
Brighton Nissan,383793895001227,brightonnissan,17841455266774301,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Brighton Auto Group,6e072410-8893-4ef8-a38c-3bb655e0eaa0,medium,Mapped by known dealership/group naming rule; review before applying.,9d509cae-4e25-4df1-aaa2-6b861d753645,f796709f-d379-4d1d-8a11-3b49cf1c42b5
Chadstone Mitsubishi,124292847609609,chadstonemitsi,17841404935325052,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Chadstone Motor Group,947caf0b-0953-420f-b76c-75f3b2515ca1,medium,Mapped by known dealership/group naming rule; review before applying.,9c4e117d-97bd-492e-9efe-0bdded2c5fa0,fe3895bb-c227-4774-8ff8-25d3f6fc62c4
Chery Ferntree Gully,107583292276012,cheryferntreegully,17841458357909661,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Ferntree Gully Automotive,09164a83-ac69-43a7-9763-27474019f15b,medium,Mapped by known dealership/group naming rule; review before applying.,02374f6c-d9b4-4843-8a57-72aa1b24d955,52c9eb30-70ba-4f33-b058-5bbe0557b096
Ferntree Gully GMSV,104610922911668,ftggmsv,17841405767622532,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Ferntree Gully Automotive,09164a83-ac69-43a7-9763-27474019f15b,medium,Mapped by known dealership/group naming rule; review before applying.,e994a0b4-33b0-42cd-8bd7-0e9cf384e032,16ad8dd7-868b-44ba-b9c8-980b24988052
Ferntree Gully Isuzu UTE,885919341485081,ferntreegullyisuzuute,17841456527100871,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Ferntree Gully Automotive,09164a83-ac69-43a7-9763-27474019f15b,medium,Mapped by known dealership/group naming rule; review before applying.,ab35d3ab-5f78-48ee-9e51-2799c604028c,21d67387-b6a6-4ee0-bba9-0db7c12022e7
