*ContactName,AccountNumber
Alan Mance Holden & HSV,AM2
Alan Mance Holden Melton,AM3
Alan Mance Kia,AM4
Alan Mance Melton & Bacchus Marsh,AM5
Alan Mance Melton Mitsubishi & Nissan,AM7
Alan Mance Mitsubishi,AM6
"Alan Mance Mitsubishi Footscray, Isuzu, Suzuki, Chery",AM9
Alan Mance Motors Pty Ltd,AM1
Alfagomma Australia Pty Ltd,ALFA
Arctic Campers Pty Ltd,ARCAMP
Astoria GWM,BAH8
Ballarat BMW,BMH6 Motus
Ballarat City Subaru,BMH3 Motus
Ballarat GMSV & Holden,BMH4 Motus
Ballarat Isuzu Ute,BMH IU
Ballarat Mazda,BMJLR1 Motus
Ballarat Motor Holdings Pty Ltd,BMH7 Motus
Ballarat Skoda,BMH2 Motus
Bay City Auto Group,BCAG1
Bay City Holden & HSV,BCAG2
Bay City Mahindra,BCAG11
Bayside European,BSMG1
Bayside Skoda,BSMG2
Beachside Volkswagen,BSMG3
Berwick GWM/Haval,BerMGrp-GH
Berwick Jeep,BerMGrp-J
Berwick KIA,BerMGrp-K
Berwick Motor Group Pty Ltd,BerMG-Group
Berwick Nissan,BerMGrp-N
Berwick KGM Ssangyong,BerMGrp-SS
Blood Auto Group Pty Ltd,BLMGRP1
Blood Hyundai,BLMGRP2
Blood Suzuki,BLMGRP3
Brighton Auto,BAG1
Brighton Automotive Holdings Pty Ltd,BAH1
Brighton Holden,BAG3
Brighton Hyundai,BAG8
Brighton INEOS,BAH7
Brighton MG,BAG6
Brighton Mitsubishi,BAG4
Brighton Nissan,BAH2
Brighton Renault,BAH4
Brighton Service,BAG7
Brighton Suzuki,BAH3
Caravan Hire Co Pty Ltd,CHC
Chadstone Kia,GWSO1
Chadstone Mitsubishi,GWSO2
Chery Mornington,MDG8
City Mazda,EAGERS2
Coffey Ford,EAGERS3
Courtney and Patterson Ford,CPFORD1
Courtney and Patterson Ford Service,CPFORD2
DanceSport Australia,DSA
Dr Neels du Toit,DRTOIT
Eagers VIC Pty Ltd,EAGERS1
Ferntree Gully Automotive,FTGD1
Ferntree Gully Chery,FTGD8
Ferntree Gully Holden & GMSV,FTGD2
Ferntree Gully Isuzu Ute,FTGD6
Ferntree Gully JAC,FTGD9
Ferntree Gully LDV,FTGD3
Ferntree Gully KGM Ssangyong,FTGD7
Ferntree Gully Suzuki,FTGD4
Ferntree Gully Volkswagen,FTGD5
FNQ Motor Group Pty Ltd,FNQM1
Frankston GMSV,BCAG13
Frankston Isuzu Ute,BCAG9
Frankston KIA,BCAG4
Frankston Mahindra,BCAG12
Frankston Mitsubishi,BCAG5
Frankston Nissan,BCAG6
Frankston Renault,BCAG10
Frankston KGM Ssangyong,BCAG7
Frankston Suzuki,BCAG3
Garry and Warren Smith,GWSO4
Garry and Warren Smith Honda,GWSS1
Garry and Warren Smith Suzuki,GWSO3
Geelong Chery,BLMGRP4
Geelong KIA,BLMGRP5
Geelong Mazda,BLMGRP6
Gendore Group,GTM2
Gendore Tractors & Machinery Pty Ltd,GTM1
Get You Finance Pty Ltd,GUF
Gippsland Isuzu Ute,GMG6 Motus
Gippsland Land Rover,VSL7
Gippsland MG,VSL1
Gippsland Motor Group Pty Ltd,GMG5
Gippsland Suzuki,VSL4
GWS Kia,GWSS2
GWS Peninsula Honda,GWSS3
GWS Springvale Pty Ltd,GWSS4
Innisfail Mazda,FNQM2
Innisfail Nissan,FNQM3
Island Coast Ford,FNQM4
Island Coast Mitsubishi,FNQM5
Kevin Dennis Holden & HSV,KDM1
Kevin Dennis Skoda,KDM2
Kevin Dennis Volkswagen,KDM3
Knox GWM,KNOX1
Leongatha Holden,GMG7
Leongatha Isuzu Ute,GMG3
Leongatha Subaru,GMG-LS
Mansfield Motor Group VIC,MFMG
Melbourne City Hyundai,EAGERS4
Melbourne City MG,EAGERS5
Mentone GWM,BAH9
Mentone LDV,BAH6
Mercedes-Benz Ringwood,EAGERS6
Mornington JAC Motors,PDG2
Mornington Kia,PDG3
Mornington Mazda,MOM
Mornington MG,MDG3
Mornington Nissan,BCAG8
Motus Australia Pty Ltd,Motus
National Car Buyers,NCB
North Eastern 4x4,CPFORD3
Northern Isuzu Ute,NMG9
Northern JAC Motors,NMG18
Northern Jeep,NMG6
Northern KIA,NMG10
Northern MG,NMG11
Northern Motor Group,NMG1
Northern Motor Group Service (415),NMG16
Northern Nissan,NMG12
Northern RAM,NMG14
Northern KGM Ssangyong,NMG15
Northern Used Cars,NMG3
P.M. Regional Pty Ltd,PMR1
Pakenham Isuzu Ute,PAKIU
Peninsula Dealer Group - Ford,PDG1
Peter Davey Suzuki,PDWT1
Sale Ford,SMG2
Sale Hyundai,SMG3
Sale Motors Group,SMG1
Sale Nissan,SMG4
Snowy River RV Pty Ltd,SRRV
Springwood Mazda,OLDM1
The Big Garage,TBG1
Traralgon Automotive Group,TAGRP
Traralgon GMSV,GMG8 
Traralgon Mazda,TLMG2
Traralgon Mitsubishi,GMG4
Traralgon Subaru,TLMG4
Traralgon Volkswagen,VSL6
Valley 4x4 and Outdoor,VMG7
Valley Ford,VMG4
Valley GWM,VMG8
Valley Kia,VMG6
Valley Motor Group Pty Ltd,VMG1
Valley Polaris,VMG9
Victorian Motor Traders Pty Ltd,VMT
Victorian RV Sales Pty Ltd,VRVS
Volvo Cars Waverley,WMG7
Waverley MG,WMG9
Waverley Mitsubishi,WMG6
Waverley Nissan,WMG3
Waverley Renault,WMG4
Waverley Skoda,WMG8
Waverley Volkswagen,WMG5
Werribee Toyota,PDWT2
Zupps Aspley,ZUPP
